perspective,lag_days,label,n_trades,mean_return_pct,median_return_pct,std_return_pct,mean_excess_return_pct,median_excess_return_pct,win_rate_pct,excess_win_rate_pct,t_statistic,p_value,significant_5pct
insider (from trade date),0,At disclosure,68,3.69,2.14,16.99,2.12,0.66,66.2,54.4,1.164,0.2484,False
insider (from trade date),30,T+30d from disclosure,68,4.42,3.94,18.83,2.17,1.18,63.2,51.5,1.066,0.2902,False
insider (from trade date),60,T+60d from disclosure,68,6.11,5.56,19.4,2.58,1.13,66.2,52.9,1.153,0.2531,False
insider (from trade date),90,T+90d from disclosure,68,7.92,5.22,22.06,3.4,0.74,66.2,52.9,1.341,0.1844,False
copycat (from disclosure),0,At copy (disclosure day),68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
copycat (from disclosure),30,T+30d after copying,68,1.58,0.49,15.19,0.71,-1.08,51.5,41.2,0.456,0.6497,False
copycat (from disclosure),60,T+60d after copying,68,3.68,2.69,20.45,1.52,-0.04,61.8,47.1,0.67,0.5049,False
copycat (from disclosure),90,T+90d after copying,68,5.61,1.03,23.06,2.43,0.29,55.9,52.9,0.966,0.3376,False
purchase only (insider),30,Purchases: T+30d excess,57,6.61,5.28,15.88,3.24,1.36,54.4,54.4,1.542,0.1286,False
purchase only (insider),60,Purchases: T+60d excess,57,8.52,7.93,16.64,3.52,1.4,56.1,56.1,1.596,0.1161,False
purchase only (insider),90,Purchases: T+90d excess,57,10.27,6.44,19.54,4.16,1.81,56.1,56.1,1.606,0.1139,False
sale only (insider),30,Sales: T+30d excess,11,-6.92,-5.93,21.01,-3.37,0.0,36.4,36.4,-0.533,0.6059,False
sale only (insider),60,Sales: T+60d excess,11,-6.39,-7.3,26.45,-2.28,0.0,36.4,36.4,-0.286,0.7806,False
sale only (insider),90,Sales: T+90d excess,11,-4.3,-5.84,27.76,-0.52,0.0,36.4,36.4,-0.062,0.9521,False
