trader,party,chamber,n_trades,n_purchases,n_sales,total_est_value,avg_disclosure_lag_days,top_sector,mean_return_90d_pct,mean_excess_90d_pct,win_rate_90d_pct,sharpe_ratio,sortino_ratio,best_trade_pct,worst_trade_pct
Michael McCaul,R,House,1,1,0,32500,16.0,Technology,77.95,67.7,100.0,,,77.95,77.95
Kevin Hern,R,House,1,1,0,75000,20.0,Financials,43.72,45.15,100.0,,,43.72,43.72
Dianne Feinstein,D,Senate,1,0,1,750000,14.0,Healthcare,18.65,29.56,100.0,,,18.65,18.65
Virginia Foxx,R,House,1,1,0,32500,22.0,Healthcare,16.86,20.26,100.0,,,16.86,16.86
Josh Gottheimer,D,House,2,2,0,65000,19.0,Technology,24.58,18.74,100.0,4.02,,31.22,17.93
Pat Fallon,R,House,6,6,0,195000,19.5,Technology,31.63,17.68,100.0,2.23,,51.75,13.74
John Curtis,R,House,1,1,0,32500,19.0,Energy,8.64,17.04,100.0,,,8.64,8.64
David Rouzer,R,House,1,1,0,32500,21.0,Energy,4.1,16.22,100.0,,,4.1,4.1
Markwayne Mullin,R,Senate,1,1,0,75000,18.0,Energy,1.52,9.51,100.0,,,1.52,1.52
Bill Hagerty,R,Senate,2,2,0,65000,17.0,Technology,23.96,9.48,100.0,3.54,,27.78,20.15
Rick Scott,R,Senate,1,1,0,175000,19.0,Commodities,-4.07,8.1,0.0,,,-4.07,-4.07
Tommy Tuberville,R,Senate,6,2,4,365000,94.0,Technology,9.67,8.08,50.0,0.4,0.67,60.71,-56.0
Mike Kelly,R,House,1,1,0,75000,17.0,Healthcare,5.4,5.57,100.0,,,5.4,5.4
Mark Warner,D,Senate,1,0,1,3000000,17.0,Technology,2.39,3.62,100.0,,,2.39,2.39
Tim Burchett,R,House,1,1,0,32500,18.0,Financials,14.18,3.3,100.0,,,14.18,14.18
Gary Peters,D,Senate,1,1,0,32500,20.0,Consumer Discretionary,15.18,3.27,100.0,,,15.18,15.18
Pete Sessions,R,House,1,1,0,32500,21.0,Energy,1.28,2.4,100.0,,,1.28,1.28
Debbie Wasserman Schultz,D,House,1,1,0,32500,18.0,Healthcare,2.46,0.18,100.0,,,2.46,2.46
French Hill,R,House,1,1,0,32500,17.0,Financials,14.28,-0.45,100.0,,,14.28,14.28
Dan Crenshaw,R,House,3,3,0,97500,22.7,Consumer Discretionary,4.23,-0.52,66.7,-0.18,,9.76,-1.72
Lois Frankel,D,House,1,1,0,32500,18.0,Technology,-2.71,-2.09,0.0,,,-2.71,-2.71
Austin Scott,R,House,2,2,0,65000,21.0,Industrials,11.54,-2.57,50.0,-0.29,,24.32,-1.25
Nancy Pelosi,D,House,13,12,1,14800000,13.9,Technology,0.65,-2.71,46.2,-0.33,0.19,34.52,-19.64
Marjorie Taylor Greene,R,House,2,2,0,65000,20.0,Communication Services,0.7,-3.77,50.0,-0.17,,32.64,-31.25
Suzan DelBene,D,House,1,0,1,3000000,17.0,Technology,-10.33,-4.34,0.0,,,-10.33,-10.33
Michael Garcia,R,House,1,1,0,32500,21.0,Technology,2.09,-5.2,100.0,,,2.09,2.09
Mark Green,R,House,2,2,0,65000,16.5,Healthcare,8.61,-6.78,100.0,-4.45,,10.78,6.44
Daniel Goldman,D,House,2,2,0,150000,20.0,Technology,9.26,-7.02,100.0,-2.37,,13.48,5.04
John Hickenlooper,D,Senate,2,2,0,65000,17.0,Consumer Discretionary,-6.74,-7.38,50.0,-1.14,,2.46,-15.93
Richard Burr,R,Senate,2,0,2,925000,35.0,Broad Market,-14.42,-7.43,0.0,-1.42,-2.76,-6.99,-21.86
Brian Mast,R,House,1,1,0,32500,21.0,Industrials,-2.25,-9.79,0.0,,,-2.25,-2.25
Kurt Schrader,D,House,1,1,0,75000,16.0,Healthcare,11.98,-10.44,100.0,,,11.98,11.98
David Perdue,R,Senate,1,1,0,175000,23.0,Materials,-24.45,-11.26,0.0,,,-24.45,-24.45
Shelley Moore Capito,R,Senate,1,1,0,75000,16.0,Healthcare,4.56,-15.39,100.0,,,4.56,4.56
Ro Khanna,D,House,1,0,1,175000,16.0,Consumer Discretionary,-29.36,-21.29,0.0,,,-29.36,-29.36
Earl Blumenauer,D,House,1,1,0,32500,16.0,Energy,-17.59,-24.77,0.0,,,-17.59,-17.59
